trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.2, 'e': 0.24907530463166816}",20,13,2.02048336471348,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.24659696394160643}",25,9,4.2226987790472625,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.2441432831534371}",25,9,-6.843230708872443,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.24171401689703645}",25,0,-34.70671568702188,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
144,False,"{'a': 0.2, 'e': 0.23930892224375455}",30,0,-27.151400247944263,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
145,False,"{'a': 0.2, 'e': 0.23692775868212176}",25,0,8.538859869939959,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.23457028809379765}",30,0,-23.305256828030142,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
147,False,"{'a': 0.2, 'e': 0.23223627472975883}",35,17,10.281878221668581,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22992548518672384}",25,17,3.9105644795072774,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.22763768838381274}",20,0,-74.68606593143794,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
150,False,"{'a': 0.2, 'e': 0.22537265553943872}",25,16,3.7432653472134008,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.22313016014842982}",25,8,-20.05882438289703,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.2209099779593782}",25,19,1.9239715900907424,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.21871188695221475}",25,9,-69.45076417811292,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
154,False,"{'a': 0.2, 'e': 0.21653566731600707}",25,5,-10.762910458727962,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.21438110142697794}",25,8,6.773382713243557,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.21224797382674304}",25,6,-34.97291985725326,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.2, 'e': 0.21013607120076472}",25,12,-11.970515719925164,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.20804518235702046}",20,5,-0.9987219388007793,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.20597509820488344}",20,0,3.2996721177555335,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.2, 'e': 0.20392561173421342}",20,12,-11.474475974636967,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.20189651799465538}",20,3,-1.6601141391734768,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.1998876140751445}",20,7,14.033713821910982,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.19789869908361465}",30,0,13.278369045703371,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.2, 'e': 0.19592957412690934}",25,0,25.88802404374177,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.2, 'e': 0.19398004229089189}",25,0,9.743166246154795,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.2, 'e': 0.19204990862075408}",20,0,-44.24873560962095,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.2, 'e': 0.1901389801015205}",20,0,12.46945511688973,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.2, 'e': 0.1882470656387468}",20,10,15.252072139480827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.18637397603940997}",20,4,10.558835545150744,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.18451952399298926}",20,0,30.212948654263652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.18268352405273466}",20,0,7.783729770737365,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.1808657926171221}",25,12,2.7210521097288445,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.17906614791149322}",20,14,11.512548614026814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.17728440996987782}",20,10,-58.67235974169336,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
175,False,"{'a': 0.2, 'e': 0.17552040061699686}",25,19,12.978142669940905,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.17377394345044514}",25,16,15.014665460859439,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.17204486382305054}",20,14,10.435139523349992,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.17033298882540943}",25,11,13.818551531017258,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.1686381472685955}",25,11,-29.83682962758894,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
